keyword,category
ai,Technology
machine learning,Technology
chatgpt,Technology
startup,Business
entrepreneur,Business
funding,Business
stock,Finance
bitcoin,Finance
investment,Finance
covid,Health
vaccine,Health
fitness,Health
football,Sports
cricket,Sports
nba,Sports
movie,Entertainment
celebrity,Entertainment
hollywood,Entertainment
climate,Environment
pollution,Environment
weather,Environment
election,Politics
government,Politics
bjp,Politics
modi,Politics
ukraine,World
israel,World
china,World
mars,Science
nasa,Science
discovery,Science
